text,label
정말 최고의 제품입니다 덕분에 삶의 질이 달라졌어요,Positive
너무 마음에 듭니다 배송도 아주 빠르네요,Positive
디자인이 너무 예쁘고 고급스럽습니다,Positive
친절한 상담 감사합니다 최고에요,Positive
오랜만에 정말 만족스러운 구매를 했습니다,Positive
가성비가 정말 좋네요 만족합니다,Positive
이건 정말 꼭 사셔야 합니다 강추!,Positive
완벽합니다 더할 나위 없이 좋네요,Positive
선물용으로 샀는데 너무 좋아하시네요,Positive
성능이 기대 이상이어서 놀랐습니다,Positive
아주 훌륭한 상품입니다,Positive
매번 여기서만 구매하게 될 것 같아요,Positive
정말 감동적인 퀄리티입니다,Positive
쓰면 쓸수록 마음에 들어요,Positive
너무 편하고 좋습니다 최고!,Positive
최악입니다 다신 안 살 것 같아요,Negative
돈이 너무 아깝습니다,Negative
배송이 너무 늦고 상품도 파손되어서 왔어요,Negative
고객센터 대응이 너무 불친절합니다,Negative
생각보다 너무 별로네요 실망입니다,Negative
기능이 제대로 작동하지 않아요,Negative
이거 왜 파는지 모르겠습니다 쓰레기네요,Negative
내구성 너무 약해요 하루만에 고장났어요,Negative
설명서도 없고 너무 불편합니다,Negative
정말 너무 짜증나네요 반품하고 싶습니다,Negative
돈 버렸네요 절대 사지 마세요,Negative
디자인은 예쁜데 실용성이 제로입니다,Negative
최악의 쇼핑 경험입니다,Negative
광고랑 너무 다릅니다 속은 기분이에요,Negative
별 한 개도 아깝습니다,Negative
